RSV-6368, FIT, HONDA, 160826, PRETO, 840443039-94
LCF-6935, FUSCA, VOLKSWAGEN, 223943, MARROM, 670553069-95
XEK-5072, MOBI, FIAT, 129672, AZUL, 840443039-94
AWY-1265, RENEGADE, JEEP, 59953, VERDE, 630401412-48
WPW-1695, SANDERO, RENAULT, 90421, MARROM, 920868226-67
HBG-1433, HB20, HYUNDAI, 255901, VERMELHO, 670553069-95
UOY-4363, C3, CITROËN, 181022, VERDE, 891214787-48
BSZ-4348, VECTRA, CHEVROLET, 221785, PRETO, 709019980-45
QAB-7983, CLASSIC, CHEVROLET, 82333, VERMELHO, 876356656-48
EZC-9696, FUSCA, VOLKSWAGEN, 189736, PRATA, 905661406-37
HVU-8390, GOL,VOLKSWAGEN, 215174, CINZA, 948817225-52
DIV-5071, 207, PEUGEOT, 146033, AZUL, 846605003-52
QWH-7056, VECTRA, CHEVROLET, 99013, CINZA, 940532236-10
QEL-9618, ETIOS, TOYOTA, 24032, AZUL, 630401412-48
SMO-9347, HR-V, HONDA, 185060, MARROM, 876356656-48
HMQ-2907, COBALT, CHEVROLET, 110130, VERDE, 891214787-48
EUV-4743, CAPTUR, RENAULT, 112481, VERMELHO, 950942727-73
YCT-9015, COROLLA, TOYOTA, 63657, PRATA, 702051221-38
MTR-9080, VECTRA, CHEVROLET, 140493, VERDE, 909028364-64
NNR-7799, KICKS, NISSAN, 68764, VERDE, 920868226-67
VNY-9555, KICKS, NISSAN, 160681, PRETO, 744394795-02
CCX-6146, MARCH, NISSAN, 159798, VERMELHO, 948817225-52
AMF-2665, RENEGADE, JEEP, 124171, VERMELHO, 744394795-02
EEC-9950, DUSTER, RENAULT, 121607, MARROM, 768763129-19
BNW-8245, COBALT, CHEVROLET, 227955, PRETO, 909764851-70
IRZ-4728, PRISMA, CHEVROLET, 162732, VERMELHO, 620727237-35
UZO-2935, KWID, RENAULT, 179560, CINZA, 831394128-21
MNZ-8255, HB20, HYUNDAI, 128155, PRATA, 840443039-94
GHN-5239, LOGAN, RENAULT, 69127, MARROM, 891214787-48
LYR-5088, C3, CITROËN, 131378, VERMELHO, 768763129-19
ZDF-8903, HB20, HYUNDAI, 251181, AZUL, 948817225-52
PWQ-4008, KWID, RENAULT, 142273, MARROM, 725199257-28
LXL-7807, STRADA, FIAT, 23595, BRANCO, 892379669-83
YTK-5589, STRADA, FIAT, 245848, MARROM, 744394795-02
IQP-4519, CELTA, CHEVROLET, 135738, CINZA, 775521998-04
HOD-5506, CORSA, CHEVROLET, 189561, BRANCO, 620727237-35
OLS-4353, LOGAN, RENAULT, 62214, PRETO, 909764851-70
DMQ-8464, GOL,VOLKSWAGEN, 155755, CINZA, 709019980-45
DEJ-9773, C3, CITROËN, 86903, MARROM, 702051221-38
PQD-4329, TUCSON, HYUNDAI, 251453, MARROM, 918062698-70
FRR-3157, GOLF, VOLKSWAGEN, 184190, PRETO, 702051221-38
PNW-8201, FIESTA, FORD, 102927, PRATA, 967201424-34
ZXQ-8386, FOX, VOLKSWAGEN, 94449, PRETO, 892379669-83
OPI-5724, IDEA, FIAT, 35012, PRATA, 892379669-83
WNP-9726, FOCUS, FORD, 56324, VERMELHO, 967201424-34
MDU-5344, I30, HYUNDAI, 104607, VERMELHO, 840443039-94
CLL-8930, AGILE, CHEVROLET, 102795, CINZA, 630401412-48
PFW-3758, ETIOS, TOYOTA, 56904, PRETO, 620727237-35
LDE-4966, AGILE, CHEVROLET, 105275, PRETO, 831394128-21
ZVT-5674, MOBI, FIAT, 170719, PRATA, 840443039-94
CMJ-2040, ONIX, CHEVROLET, 34702, AZUL, 905661406-37
GTB-9966, GOLF, VOLKSWAGEN, 69872, VERMELHO, 892379669-83
TUU-3861, TUCSON, HYUNDAI, 132954, MARROM, 840443039-94
GQX-2443, CORSA, CHEVROLET, 122784, PRATA, 846605003-52
VQH-5455, CIVIC, HONDA, 224929, VERDE, 705270096-86
SJI-4667, LOGAN, RENAULT, 240859, BRANCO, 967201424-34
IEH-7733, VECTRA, CHEVROLET, 142781, PRETO, 846605003-52
WPP-1347, CLASSIC, CHEVROLET, 69645, BRANCO, 831394128-21
CJB-5180, CLASSIC, CHEVROLET, 114261, PRATA, 831394128-21
GYA-4392, SANDERO, RENAULT, 187866, PRATA, 670553069-95
NIX-7344, CELTA, CHEVROLET, 231487, AZUL, 967201424-34
SJV-8127, HR-V, HONDA, 40237, MARROM, 670553069-95
EYP-6946, CLIO, RENAULT, 92680, VERMELHO, 709019980-45
TUQ-5109, ECOSPORT, FORD, 180531, BRANCO, 702051221-38
QWB-2177, PRISMA, CHEVROLET, 117741, MARROM, 905661406-37
ZAQ-2544, TORO, FIAT, 232467, VERMELHO, 940532236-10
GJD-8029, MARCH, NISSAN, 80139, BRANCO, 940532236-10
VNC-7757, CITY, HONDA, 223535, VERDE, 846605003-52
HTK-6344, ECOSPORT, FORD, 51552, PRETO, 725199257-28
QYS-6685, PUNTO, FIAT, 218219, PRETO, 744394795-02
DNV-2976, HILUX, TOYOTA, 175900, VERDE, 909764851-70
LLJ-2242, LOGAN, RENAULT, 220189, MARROM, 876356656-48
XAE-2939, CELTA, CHEVROLET, 192791, MARROM, 891214787-48
ANL-2143, TORO, FIAT, 29689, PRETO, 948817225-52
YSL-8511, PRISMA, CHEVROLET, 249829, AZUL, 768763129-19
FPW-1251, SIENA, FIAT, 251790, PRETO, 702051221-38
ALL-6898, SPACEFOX, VOLKSWAGEN, 155101, VERDE, 725199257-28
GRG-2123, CITY, HONDA, 32683, MARROM, 775521998-04
